Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7",0805,7,0.1uF,
"D1, D2, D3, D4, D5, D6",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,6,WS2812B,
D7,0805,1,LED,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J3,Micro SD socket,1,Micro_SD_Card,
J4,JST_XA_B02B-XASK-1_1x02_P2.50mm_Vertical,1,Conn_01x02_Pin,
"R1, R10, R11, R2, R3, R4, R5, R6, R8, R9",0805,10,R,
R7,R_LDR_5.1x4.3mm_P3.4mm_Vertical,1,LDR07,
"Reset1, SW1, SW2",SW_Push_1P1T_XKB_TS-1187A,3,SW_Push,
U1,ESP32-WROOM-32,1,ESP32-WROOM-32,
U2,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DS3,
U3,DHT11,1,DHT11,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
